full_date,date,weekday,time,mood,activities,note
2019-02-06,6 February,Wednesday,8:07 pm,Alright,"",""
2019-02-05,5 February,Tuesday,8:00 pm,Happy,"Work",""
2019-02-04,4 February,Monday,8:33 pm,Happy,"Work",""
2019-02-03,3 February,Sunday,8:17 pm,Happy,"Relax | Sport",""
2019-02-02,2 February,Saturday,10:02 pm,Not happy,"Family",""
2019-02-01,1 February,Friday,8:00 pm,Happy,"Work",""
2019-01-31,31 January,Thursday,8:20 pm,Happy,"Work",""
2019-01-30,30 January,Wednesday,8:23 pm,Happy,"Work",""
2019-01-29,29 January,Tuesday,8:00 pm,Happy,"Work",""
2019-01-28,28 January,Monday,8:02 pm,Happy,"Boyfriend | Relax",""
2019-01-27,27 January,Sunday,9:27 pm,Happy,"Boyfriend | Friends | Relax | coffee",""
2019-01-26,26 January,Saturday,8:05 pm,Great,"Friends | Relax | coffee | Dined Out | Drinks",""
2019-01-25,25 January,Friday,8:20 pm,Not happy,"Work",""
2019-01-24,24 January,Thursday,8:40 pm,Happy,"Work | Drinks",""
2019-01-23,23 January,Wednesday,8:02 pm,Happy,"Work",""
2019-01-22,22 January,Tuesday,8:50 pm,Happy,"Boyfriend | Work",""
2019-01-21,21 January,Monday,8:34 pm,Alright,"Work",""
2019-01-20,20 January,Sunday,8:19 pm,Happy,"Boyfriend | Family | Relax | coffee | Sport",""
2019-01-19,19 January,Saturday,8:56 pm,Happy,"Boyfriend | Relax | Shopping | Movies",""
2019-01-18,18 January,Friday,8:07 pm,Alright,"Work",""
2019-01-17,17 January,Thursday,8:42 pm,Alright,"Work",""
2019-01-16,16 January,Wednesday,8:06 pm,Depressed,"Work",""
2019-01-15,15 January,Tuesday,8:36 pm,Not happy,"Work",""
2019-01-14,14 January,Monday,8:02 pm,Great,"Work",""
2019-01-13,13 January,Sunday,8:00 pm,Great,"Boyfriend | Relax | Cooking",""
2019-01-12,12 January,Saturday,8:02 pm,Great,"Relax | coffee",""
2019-01-11,11 January,Friday,8:18 pm,Great,"Work",""
2019-01-10,10 January,Thursday,8:07 pm,Happy,"Work",""
2019-01-09,9 January,Wednesday,8:25 pm,Happy,"Work",""
2019-01-08,8 January,Tuesday,8:16 pm,Happy,"Work",""
2019-01-07,7 January,Monday,8:00 pm,Happy,"Work",""
2019-01-06,6 January,Sunday,8:01 pm,Happy,"Gaming | Relax | Movies",""
2019-01-05,5 January,Saturday,8:20 pm,Alright,"Boyfriend | Relax",""
2019-01-04,4 January,Friday,11:04 pm,Alright,"Boyfriend | Work | Movies",""
2019-01-03,3 January,Thursday,1:26 pm,Happy,"Work",""
2019-01-02,2 January,Wednesday,1:26 pm,Happy,"Work",""
2019-01-01,1 January,Tuesday,1:27 pm,Great,"Gaming | Relax",""
